index,Unnamed: 0,segment_id,start_time_seconds,end_time_seconds,label,duration_x,clip_id,conjunto,filename,duration_y
38905,105626,lFzhCz2Uzaw_23000,0.0,10.0,/m/012f08,10.0,-0x4e62cc174a2aafae,entrenamiento,-0x4e62cc174a2aafae,10.0188125
39376,107251,ZtmqZl5OOLU_0,0.753,10.0,/m/012f08,9.247,-0x3d8e11ec7cfbf90f,entrenamiento,-0x3d8e11ec7cfbf90f,9.9735
39251,106785,3vBu3hZCzSM_0,0.028,10.0,/m/012f08,9.972,0x4b51a6759c574baf,entrenamiento,0x4b51a6759c574baf,9.9735
39115,106325,pmqr5sarP_A_10000,0.883,4.083,/m/012f08,3.2,-0x5594637e57a51d15,entrenamiento,-0x5594637e57a51d15,4.0535
39390,107305,pLObOvNq6pg_20000,0.0,10.0,/m/012f08,10.0,0x2ac5fbb9a3991d3b,entrenamiento,0x2ac5fbb9a3991d3b,10.0001875
39001,105965,lKs05DCaO4A_17000,0.0,9.517,/m/012f08,9.517,0x1bb90b09051a146c,entrenamiento,0x1bb90b09051a146c,9.5171875
39357,107164,9w3RzoD3BAc_12000,6.123,9.432,/m/012f08,3.309,0xf8d856a47cc218e,entrenamiento,0xf8d856a47cc218e,3.3090625
39145,106415,95Z6hMGuWRA_27000,0.0,9.897,/m/012f08,9.897,-0x519fa29a53199ef7,entrenamiento,-0x519fa29a53199ef7,9.91975
39072,106201,0TeYskXhwbM_30000,9.382,10.0,/m/012f08,0.6180000000000003,-0x2a7d11b14764dadd,entrenamiento,-0x2a7d11b14764dadd,0.618
39057,106159,f-dQYBH-7dQ_30000,6.297,10.0,/m/012f08,3.703,-0x43bca8744f039c84,entrenamiento,-0x43bca8744f039c84,3.711
45836,125385,V9vQFBkf5cA_100000,4.764,10.0,/m/012n7d,5.236,-0x75c46c21187417bb,entrenamiento,-0x75c46c21187417bb,5.2521875
45851,125424,nC_IPV1fOVg_0,0.086,8.004,/m/012n7d,7.917999999999999,-0x7ee14e683ee841c0,entrenamiento,-0x7ee14e683ee841c0,7.9735
45863,125459,g4n4_16-MQA_0,0.048,6.661,/m/012n7d,6.613,0x46150821e5cb1f9f,entrenamiento,0x46150821e5cb1f9f,6.6135
45866,125471,7lAs7IWYbsY_11000,0.0,9.457,/m/012n7d,9.457,-0x3f0560177a009aee,entrenamiento,-0x3f0560177a009aee,10.4135625
45843,125409,fKnhL9H-jFA_80000,2.873,10.0,/m/012n7d,7.127,0x406a3a9f2cf272bc,entrenamiento,0x406a3a9f2cf272bc,9.9735
45855,125431,enL18sXbrXM_12000,0.0,9.107,/m/012n7d,9.107,0x15fbf7e1b3c151,entrenamiento,0x15fbf7e1b3c151,11.06375
45847,125418,UbkUtLiMNSI_100000,0.0,0.292,/m/012n7d,0.292,0x3a8d790e3d5c3aec,entrenamiento,0x3a8d790e3d5c3aec,0.3101875
45823,125345,OVQMFBeCHq0_13000,0.0,9.825,/m/012n7d,9.825,0x35e68806f082bd0e,entrenamiento,0x35e68806f082bd0e,12.782
45861,125449,e1HvXlitvzA_40000,6.913,10.0,/m/012n7d,3.087,0x1fe2fdaceb1874b2,entrenamiento,0x1fe2fdaceb1874b2,3.1028125
45840,125398,04xrg4ZEU-A_10000,0.135,0.753,/m/012n7d,0.618,-0x2ec79c9c104caa9,entrenamiento,-0x2ec79c9c104caa9,0.7335
26687,75337,qAnq9qcmoWA_5000,9.396,9.864,/m/015p6,0.4679999999999999,0x649c26126c758060,entrenamiento,0x649c26126c758060,0.42275
26599,75112,c5YCUACICqM_30000,2.835,10.0,/m/015p6,7.165,-0x78da0de42598c878,entrenamiento,-0x78da0de42598c878,9.9735
26574,75050,FQRBUmbebmA_0,1.747,2.584,/m/015p6,0.837,-0x7821db560644495b,entrenamiento,-0x7821db560644495b,0.853625
26542,74952,vViUmqUrww8_19000,7.58,7.678,/m/015p6,0.0979999999999998,-0x5946f02b8cb93dc4,entrenamiento,-0x5946f02b8cb93dc4,0.1135
26827,75662,MzlNccZXWjw_30000,2.504,3.255,/m/015p6,0.7509999999999999,-0x5801ea11ad2934b,entrenamiento,-0x5801ea11ad2934b,3.2335
26581,75061,LaSdNOiwcSM_30000,2.065,2.443,/m/015p6,0.3780000000000001,0x5048ef3f146d0d8f,entrenamiento,0x5048ef3f146d0d8f,2.4135
26564,75017,P4jwC6Q7R6M_190000,0.961,1.709,/m/015p6,0.7480000000000001,-0x26f52a1b49e59d33,entrenamiento,-0x26f52a1b49e59d33,1.6935
26568,75042,aRYOkUUBuz4_30000,1.934,2.596,/m/015p6,0.6620000000000001,-0x1da1fa8ba6262f59,entrenamiento,-0x1da1fa8ba6262f59,2.5735
26776,75557,_9jodjs9jtk_410000,1.031,1.583,/m/015p6,0.552,0x74900d6ffa058bd4,entrenamiento,0x74900d6ffa058bd4,1.5535
26830,75668,adGaKeEi1RM_30000,2.834,2.961,/m/015p6,0.1269999999999997,-0x3b36717a4c94f34f,entrenamiento,-0x3b36717a4c94f34f,2.9335
47568,130341,Egf67CC1D_0_27000,8.589,9.104,/m/01h82_,0.5149999999999988,0xabbd0e5375918d4,entrenamiento,0xabbd0e5375918d4,0.5180625
47538,130249,Ah304Vt9l9U_0,0.0,10.0,/m/01h82_,10.0,-0x7ba3cc47def55cd8,entrenamiento,-0x7ba3cc47def55cd8,9.9935
47546,130296,2DLP1O8ogW8_0,0.066,10.0,/m/01h82_,9.934,-0x2ad20b93a84f9a62,entrenamiento,-0x2ad20b93a84f9a62,9.9735
47526,130214,M-KmXTwsohc_30000,0.0,10.0,/m/01h82_,10.0,-0x41057df8ae992304,entrenamiento,-0x41057df8ae992304,10.008
47533,130231,1Wdh2x18NNA_30000,0.0,10.0,/m/01h82_,10.0,-0x13d7e29f7a8be71e,entrenamiento,-0x13d7e29f7a8be71e,10.008
47626,130568,pGlkAZK6Cis_3000,7.108,7.444,/m/01h82_,0.3360000000000003,-0x56322b78ce11a8e1,entrenamiento,-0x56322b78ce11a8e1,0.3335
47577,130363,ZOF5mKg2zMY_0,5.27,6.281,/m/01h82_,1.011,0x16081e9dfea88c81,entrenamiento,0x16081e9dfea88c81,1.022625
47541,130267,jZX5twZFMzE_260000,1.588,4.846,/m/01h82_,3.258,-0x4522854fa7326e73,entrenamiento,-0x4522854fa7326e73,4.8135
47588,130403,4bp-AKTPBYE_3000,0.0,9.225,/m/01h82_,9.225,-0x42ddcca96f171e86,entrenamiento,-0x42ddcca96f171e86,12.182125
47561,130334,Egf67CC1D_0_27000,1.921,2.251,/m/01h82_,0.3299999999999998,-0x79622a2b21c7f277,entrenamiento,-0x79622a2b21c7f277,0.336125
16021,50280,QwXwXwmcUXU_30000,2.945,6.244,/m/01h8n0,3.299,0x5bb167ac03c2cc63,entrenamiento,0x5bb167ac03c2cc63,6.2135
15034,48335,DppvNj0JLO4_23000,4.693,9.856,/m/01h8n0,5.163,-0xa34e2925fde6e69,entrenamiento,-0xa34e2925fde6e69,5.16325
14874,48018,JQ_GK10jlB4_80000,0.013,5.109,/m/01h8n0,5.096,0x5808f7a6979d43c9,entrenamiento,0x5808f7a6979d43c9,5.111375
16889,51994,B4M6vp3coH0_30000,0.189,9.472,/m/01h8n0,9.283,0x14bd2bcc9c638264,entrenamiento,0x14bd2bcc9c638264,9.4535
15143,48524,lytBGv0Qe58_30000,0.656,8.813,/m/01h8n0,8.157,-0x7d9e74ce6c0db47e,entrenamiento,-0x7d9e74ce6c0db47e,8.7935
15721,49685,bONEOW9EDi0_30000,0.539,10.0,/m/01h8n0,9.461,0x21ecd929009e1e91,entrenamiento,0x21ecd929009e1e91,9.9735
15323,48857,Op1bXa1FU8I_0,0.0,9.404,/m/01h8n0,9.404,0x2ea69fb399dc4562,entrenamiento,0x2ea69fb399dc4562,9.3935
14147,46613,JJqWAH3wCmM_110000,1.364,2.264,/m/01h8n0,0.8999999999999997,-0x35981e4cdddae58,entrenamiento,-0x35981e4cdddae58,2.2335
14576,47439,8S_RkzFbZdE_30000,1.359,9.907,/m/01h8n0,8.548,0xf26e5cc2803d2e6,entrenamiento,0xf26e5cc2803d2e6,9.8735
16384,50984,JMhytGuXOl4_30000,0.91,10.0,/m/01h8n0,9.09,0x51633c6b68b88ff9,entrenamiento,0x51633c6b68b88ff9,9.9735
21474,62705,rvOkw27qWcs_29000,4.296,4.493,/m/020bb7,0.197,0x662addd0d1198b9c,entrenamiento,0x662addd0d1198b9c,0.2135
23572,67745,SI30NsqDhus_10000,2.312,2.532,/m/020bb7,0.2200000000000002,-0x21f44620a08ce890,entrenamiento,-0x21f44620a08ce890,2.5135
22144,64261,OEQZLR-eMJE_3000,7.902,8.329,/m/020bb7,0.4270000000000005,0x60cea25b2a6f1c55,entrenamiento,0x60cea25b2a6f1c55,0.4335
