index,Value,Tag
2022-08-30 09:00:00,59.2,BI-RUI-C009LD
2022-08-30 09:15:00,56.32,BI-RUI-C009LD
2022-08-30 09:30:00,58.28,BI-RUI-C009LD
2022-08-30 09:45:00,59.54,BI-RUI-C009LD
2022-08-30 10:00:00,57.01,BI-RUI-C009LD
2022-08-30 10:15:00,64.08,BI-RUI-C009LD
2022-08-30 10:30:00,59.75,BI-RUI-C009LD
2022-08-30 10:45:00,58.73,BI-RUI-C009LD
2022-08-30 11:00:00,59.38,BI-RUI-C009LD
2022-08-30 11:15:00,60.06,BI-RUI-C009LD
2022-08-30 11:30:00,57.19,BI-RUI-C009LD
2022-08-30 11:45:00,58.41,BI-RUI-C009LD
2022-08-30 12:00:00,68.7,BI-RUI-C009LD
2022-08-30 12:15:00,61.02,BI-RUI-C009LD
2022-08-30 12:30:00,77.6,BI-RUI-C009LD
2022-08-30 12:45:00,59.71,BI-RUI-C009LD
2022-08-30 13:00:00,60.35,BI-RUI-C009LD
2022-08-30 13:15:00,59.43,BI-RUI-C009LD
2022-08-30 13:30:00,62.94,BI-RUI-C009LD
2022-08-30 13:45:00,60.83,BI-RUI-C009LD
2022-08-30 14:00:00,61.78,BI-RUI-C009LD
2022-08-30 14:15:00,61.04,BI-RUI-C009LD
2022-08-30 14:30:00,64.19,BI-RUI-C009LD
2022-08-30 14:45:00,62.07,BI-RUI-C009LD
2022-08-30 15:00:00,61.93,BI-RUI-C009LD
2022-08-30 15:15:00,58.09,BI-RUI-C009LD
2022-08-30 15:30:00,60.88,BI-RUI-C009LD
2022-08-30 15:45:00,60.98,BI-RUI-C009LD
2022-08-30 16:00:00,71.52,BI-RUI-C009LD
2022-08-30 16:15:00,,BI-RUI-C009LD
2022-08-30 16:30:00,,BI-RUI-C009LD
2022-08-30 16:45:00,,BI-RUI-C009LD
2022-08-30 17:00:00,,BI-RUI-C009LD
2022-08-30 17:15:00,,BI-RUI-C009LD
2022-08-30 17:30:00,,BI-RUI-C009LD
2022-08-30 17:45:00,,BI-RUI-C009LD
2022-08-30 18:00:00,,BI-RUI-C009LD
2022-08-30 18:15:00,59.92,BI-RUI-C009LD
2022-08-30 18:30:00,62.71,BI-RUI-C009LD
2022-08-30 18:45:00,60.07,BI-RUI-C009LD
2022-08-30 19:00:00,61.53,BI-RUI-C009LD
2022-08-30 19:15:00,61.67,BI-RUI-C009LD
2022-08-30 19:30:00,61.86,BI-RUI-C009LD
2022-08-30 19:45:00,66.66,BI-RUI-C009LD
2022-08-30 20:00:00,64.48,BI-RUI-C009LD
2022-08-30 20:15:00,65.95,BI-RUI-C009LD
2022-08-30 20:30:00,65.32,BI-RUI-C009LD
2022-08-30 20:45:00,65.38,BI-RUI-C009LD
2022-08-30 21:00:00,66.68,BI-RUI-C009LD
2022-08-30 21:15:00,65.74,BI-RUI-C009LD
2022-08-30 21:30:00,67.03,BI-RUI-C009LD
2022-08-30 21:45:00,68.8,BI-RUI-C009LD
2022-08-30 22:00:00,65.47,BI-RUI-C009LD
2022-08-30 22:15:00,66.6,BI-RUI-C009LD
2022-08-30 22:30:00,66.04,BI-RUI-C009LD
2022-08-30 22:45:00,66.27,BI-RUI-C009LD
2022-08-30 23:00:00,65.27,BI-RUI-C009LD
2022-08-30 23:15:00,61.96,BI-RUI-C009LD
2022-08-30 23:30:00,55.32,BI-RUI-C009LD
2022-08-30 23:45:00,55.96,BI-RUI-C009LD
2022-08-31 00:00:00,54.57,BI-RUI-C009LD
2022-08-31 00:15:00,55.29,BI-RUI-C009LD
2022-08-31 00:30:00,48.26,BI-RUI-C009LD
2022-08-31 00:45:00,47.55,BI-RUI-C009LD
2022-08-31 01:00:00,51.21,BI-RUI-C009LD
2022-08-31 01:15:00,48.17,BI-RUI-C009LD
2022-08-31 01:30:00,55.42,BI-RUI-C009LD
2022-08-31 01:45:00,55.22,BI-RUI-C009LD
2022-08-31 02:00:00,47.77,BI-RUI-C009LD
2022-08-31 02:15:00,47.8,BI-RUI-C009LD
2022-08-31 02:30:00,48.73,BI-RUI-C009LD
2022-08-31 02:45:00,41.7,BI-RUI-C009LD
2022-08-31 03:00:00,41.7,BI-RUI-C009LD
2022-08-31 03:15:00,44.33,BI-RUI-C009LD
2022-08-31 03:30:00,46.91,BI-RUI-C009LD
2022-08-31 03:45:00,69.2,BI-RUI-C009LD
2022-08-31 04:00:00,48.63,BI-RUI-C009LD
2022-08-31 04:15:00,50.24,BI-RUI-C009LD
2022-08-31 04:30:00,41.7,BI-RUI-C009LD
2022-08-31 04:45:00,41.7,BI-RUI-C009LD
2022-08-31 05:00:00,42.63,BI-RUI-C009LD
2022-08-31 05:15:00,40.81,BI-RUI-C009LD
2022-08-31 05:30:00,40.31,BI-RUI-C009LD
2022-08-31 05:45:00,40.12,BI-RUI-C009LD
2022-08-31 06:00:00,42.31,BI-RUI-C009LD
2022-08-31 06:15:00,41.7,BI-RUI-C009LD
2022-08-31 06:30:00,42.48,BI-RUI-C009LD
2022-08-31 06:45:00,41.7,BI-RUI-C009LD
2022-08-31 07:00:00,52.33,BI-RUI-C009LD
2022-08-31 07:15:00,50.61,BI-RUI-C009LD
2022-08-31 07:30:00,41.7,BI-RUI-C009LD
2022-08-31 07:45:00,46.9,BI-RUI-C009LD
2022-08-31 08:00:00,45.25,BI-RUI-C009LD
2022-08-31 08:15:00,59.13,BI-RUI-C009LD
2022-08-31 08:30:00,54.86,BI-RUI-C009LD
2022-08-31 08:45:00,59.83,BI-RUI-C009LD
2022-08-31 09:00:00,52.6,BI-RUI-C009LD
2022-08-31 09:15:00,57.11,BI-RUI-C009LD
2022-08-31 09:30:00,58.81,BI-RUI-C009LD
2022-08-31 09:45:00,56.83,BI-RUI-C009LD
2022-08-31 10:00:00,59.35,BI-RUI-C009LD
2022-08-31 10:15:00,60.67,BI-RUI-C009LD
2022-08-31 10:30:00,57.97,BI-RUI-C009LD
2022-08-31 10:45:00,57.91,BI-RUI-C009LD
2022-08-31 11:00:00,57.14,BI-RUI-C009LD
2022-08-31 11:15:00,57.49,BI-RUI-C009LD
2022-08-31 11:30:00,61.18,BI-RUI-C009LD
2022-08-31 11:45:00,62.84,BI-RUI-C009LD
2022-08-31 12:00:00,55.47,BI-RUI-C009LD
2022-08-31 12:15:00,65.39,BI-RUI-C009LD
2022-08-31 12:30:00,57.9,BI-RUI-C009LD
2022-08-31 12:45:00,60.98,BI-RUI-C009LD
