,system_date,lat,lon,speed,LA,LZ
0,2022-11-17 22:46:57.303616,0.0,0.0,0.0,51.07,71.08
1,2022-11-17 22:46:58.503853,39.9701966667,0.0124908333,0.026,51.92,70.53
2,2022-11-17 22:46:59.516021,39.9701951667,0.01249,0.1,51.67,70.66
3,2022-11-17 22:47:00.527944,39.9701961667,0.0124923333,0.153,53.4,71.87
4,2022-11-17 22:47:01.539802,39.9701971667,0.0124951667,0.16,54.83,70.85
5,2022-11-17 22:47:02.551688,39.970198,0.0124945,0.112,54.33,70.76
6,2022-11-17 22:47:03.563554,39.9701996667,0.0124915,0.055,53.65,69.71
7,2022-11-17 22:47:04.585502,39.9702011667,0.012488,0.044,53.73,71.32
8,2022-11-17 22:47:05.597582,39.9702043333,0.0124843333,0.171,53.51,70.34
9,2022-11-17 22:47:06.609550,39.9702093333,0.0124771667,0.266,55.51,71.15
10,2022-11-17 22:47:07.621189,39.9702136667,0.0124718333,0.157,58.22,74.0
11,2022-11-17 22:47:08.632934,39.9702156667,0.0124698333,0.005,60.5,76.06
12,2022-11-17 22:47:09.644762,39.9702178333,0.0124673333,0.094,68.88,84.61
13,2022-11-17 22:47:10.659436,39.9702196667,0.0124655,0.156,75.08,87.13
14,2022-11-17 22:47:11.671188,39.9702201667,0.012465,0.175,64.43,75.74
15,2022-11-17 22:47:12.682970,39.9702205,0.012465,0.177,59.53,72.7
16,2022-11-17 22:47:13.694996,39.970223,0.0124638333,0.239,55.89,70.64
17,2022-11-17 22:47:14.707004,39.9702233333,0.0124641667,0.106,55.02,70.6
18,2022-11-17 22:47:15.718883,39.9702226667,0.0124661667,0.207,55.15,71.45
19,2022-11-17 22:47:16.731805,39.97022,0.0124703333,0.225,53.3,71.57
20,2022-11-17 22:47:17.743866,39.9702178333,0.0124738333,0.075,53.24,70.74
21,2022-11-17 22:47:18.756725,39.9702165,0.0124755,0.276,52.42,69.67
22,2022-11-17 22:47:19.768434,39.9702156667,0.0124761667,0.25,52.91,70.68
23,2022-11-17 22:47:20.780516,39.9702141667,0.0124783333,0.153,51.33,69.18
24,2022-11-17 22:47:21.792142,39.9702131667,0.0124803333,0.172,51.16,68.96
25,2022-11-17 22:47:22.804064,39.9702115,0.0124831667,0.271,51.32,68.84
26,2022-11-17 22:47:23.826140,39.970211,0.0124841667,0.034,51.45,69.94
27,2022-11-17 22:47:24.841210,39.9702096667,0.012486,0.087,51.42,70.56
28,2022-11-17 22:47:25.852953,39.9702085,0.0124876667,0.061,53.44,70.76
29,2022-11-17 22:47:26.865019,39.9702071667,0.0124898333,0.141,54.45,72.2
30,2022-11-17 22:47:27.877481,39.9702065,0.0124913333,0.2,54.53,70.72
31,2022-11-17 22:47:28.890056,39.9702056667,0.012493,0.105,54.59,71.32
32,2022-11-17 22:47:29.901985,39.9702048333,0.0124943333,0.119,54.81,71.8
33,2022-11-17 22:47:30.913555,39.9702053333,0.0124946667,0.171,54.87,71.33
34,2022-11-17 22:47:31.925061,39.9702016667,0.0124991667,0.271,54.83,72.35
35,2022-11-17 22:47:32.936972,39.9701978333,0.0125045,0.125,55.83,73.08
36,2022-11-17 22:47:33.949040,39.970195,0.01251,0.111,55.48,71.98
37,2022-11-17 22:47:34.960838,39.9701921667,0.0125148333,0.092,52.89,71.3
38,2022-11-17 22:47:35.972613,39.97019,0.0125193333,0.11,52.85,71.68
39,2022-11-17 22:47:36.984511,39.970188,0.012523,0.223,50.49,69.86
40,2022-11-17 22:47:37.996524,39.9701833333,0.0125305,0.126,50.48,69.89
41,2022-11-17 22:47:39.008353,39.9701805,0.0125345,0.126,52.42,70.89
42,2022-11-17 22:47:40.020209,39.9701783333,0.0125381667,0.165,50.18,67.14
43,2022-11-17 22:47:41.032530,39.9701758333,0.0125428333,0.176,52.01,68.48
44,2022-11-17 22:47:42.044238,39.9701738333,0.012546,0.217,51.03,70.26
45,2022-11-17 22:47:43.056139,39.9701731667,0.0125481667,0.065,52.66,69.85
46,2022-11-17 22:47:44.067970,39.970171,0.0125521667,0.117,52.03,70.3
47,2022-11-17 22:47:45.079784,39.9701686667,0.0125571667,0.162,52.61,70.4
48,2022-11-17 22:47:46.095463,39.9701683333,0.0125596667,0.121,51.38,69.86
49,2022-11-17 22:47:47.116021,39.9701675,0.0125616667,0.032,50.72,70.05
50,2022-11-17 22:47:48.127981,39.9701675,0.012563,0.068,49.89,68.45
51,2022-11-17 22:47:49.140344,39.9701668333,0.012565,0.148,50.4,69.33
52,2022-11-17 22:47:50.152192,39.9701675,0.0125661667,0.101,50.41,68.54
53,2022-11-17 22:47:51.164546,39.9701676667,0.0125676667,0.079,50.17,69.45
54,2022-11-17 22:47:52.173950,39.9701685,0.0125685,0.0,49.37,68.46
55,2022-11-17 22:47:53.183266,39.9701686667,0.0125685,0.0,49.76,70.79
56,2022-11-17 22:47:54.192264,39.9701688333,0.0125688333,0.0,50.36,69.94
57,2022-11-17 22:47:55.204462,39.9701691667,0.0125688333,0.017,51.21,70.53
58,2022-11-17 22:47:56.216797,39.9701693333,0.0125686667,0.091,50.61,69.61
59,2022-11-17 22:47:57.223203,0.0,0.0,0.093,51.25,71.02
60,2022-11-17 22:47:58.229343,0.0,0.0,0.082,51.89,70.38
61,2022-11-17 22:47:59.235870,0.0,0.0,0.094,51.19,69.85
62,2022-11-17 22:48:00.242249,0.0,0.0,0.134,51.26,68.97
63,2022-11-17 22:48:01.248462,0.0,0.0,0.152,50.88,68.12
64,2022-11-17 22:48:02.254786,0.0,0.0,0.093,50.92,69.95
65,2022-11-17 22:48:03.261162,0.0,0.0,0.085,50.17,68.69
66,2022-11-17 22:48:04.267546,0.0,0.0,0.029,50.62,69.35
67,2022-11-17 22:48:05.279999,39.9701715,0.0125718333,0.151,51.68,70.04
68,2022-11-17 22:48:06.292182,39.9701718333,0.0125718333,0.075,51.41,71.69
