,system_date,lat,lon,speed,LA,LZ
0,2022-11-17 16:07:29.677250,0.0,0.0,0.0,56.79,73.83
1,2022-11-17 16:07:30.882003,,,,58.23,72.24
2,2022-11-17 16:07:31.892970,,,,62.64,72.29
3,2022-11-17 16:07:32.903873,,,,58.67,73.01
4,2022-11-17 16:07:33.914899,,,,58.12,70.3
5,2022-11-17 16:07:34.925632,,,,56.61,71.63
6,2022-11-17 16:07:35.936633,,,,58.09,77.07
7,2022-11-17 16:07:36.947584,,,,52.36,69.08
8,2022-11-17 16:07:37.958477,,,,65.73,77.55
9,2022-11-17 16:07:38.970436,,,,72.62,80.13
10,2022-11-17 16:07:39.984162,,,,75.5,84.88
11,2022-11-17 16:07:40.995057,,,,80.48,90.61
12,2022-11-17 16:07:42.006193,,,,82.32,97.79
13,2022-11-17 16:07:43.017168,,,,71.24,86.4
14,2022-11-17 16:07:44.028140,,,,59.75,74.6
15,2022-11-17 16:07:45.039292,,,,58.22,71.03
16,2022-11-17 16:07:46.051324,39.9866561667,-0.0480736667,0.597,58.58,72.8
17,2022-11-17 16:07:47.069821,39.9866385,-0.0480735,0.335,62.55,73.89
18,2022-11-17 16:07:48.090412,39.9866268333,-0.0480775,0.407,62.57,73.93
19,2022-11-17 16:07:49.102864,39.9866168333,-0.0480776667,0.577,61.73,73.35
20,2022-11-17 16:07:50.114914,39.9866136667,-0.0480616667,0.792,60.0,74.82
21,2022-11-17 16:07:51.126911,39.9866185,-0.048023,0.512,60.21,74.6
22,2022-11-17 16:07:52.138657,39.9866161667,-0.048011,0.147,58.85,72.47
23,2022-11-17 16:07:53.151002,39.9866283333,-0.047945,0.059,60.95,75.16
24,2022-11-17 16:07:54.160018,39.9866235,-0.0479398333,0.0,63.26,76.0
25,2022-11-17 16:07:55.169180,39.986629,-0.0479018333,0.0,65.73,79.71
26,2022-11-17 16:07:56.181170,39.986634,-0.0478643333,0.461,67.3,81.41
27,2022-11-17 16:07:57.193676,39.9866315,-0.0478493333,0.377,61.23,77.11
28,2022-11-17 16:07:58.200394,0.0,0.0,0.334,65.81,80.33
29,2022-11-17 16:07:59.206851,0.0,0.0,0.599,60.17,76.6
30,2022-11-17 16:07:59.707438,0.0,0.0,0.294,58.69,74.42
31,2022-11-17 16:08:00.713630,0.0,0.0,0.183,60.63,74.53
32,2022-11-17 16:08:01.720189,0.0,0.0,0.292,60.84,75.32
33,2022-11-17 16:08:02.726412,0.0,0.0,0.354,60.74,73.1
34,2022-11-17 16:08:03.732367,0.0,0.0,0.185,61.78,74.64
35,2022-11-17 16:08:04.738375,0.0,0.0,0.306,60.9,75.8
36,2022-11-17 16:08:05.750153,39.986622,-0.0477605,0.291,59.81,73.74
37,2022-11-17 16:08:06.762207,39.9866236667,-0.0477521667,0.385,60.47,74.36
38,2022-11-17 16:08:07.774229,39.9866231667,-0.0477503333,0.595,61.21,74.54
39,2022-11-17 16:08:08.786170,39.986619,-0.0477551667,0.48,58.02,70.56
