,system_date,lat,lon,speed,LA,LZ
0,2022-11-09 22:54:12.294146,0.0,0.0,0.0,59.82,77.02
1,2022-11-09 22:54:13.500522,40.5374276667,-3.63468,0.146,57.15,72.66
2,2022-11-09 22:54:14.512627,40.5374263333,-3.6346808333,0.208,58.83,76.61
3,2022-11-09 22:54:15.525407,40.5374263333,-3.6346801667,0.126,56.73,77.49
4,2022-11-09 22:54:16.537480,40.537426,-3.6346813333,0.144,54.49,69.74
5,2022-11-09 22:54:17.549420,40.5374248333,-3.6346803333,0.045,54.77,73.36
6,2022-11-09 22:54:18.561819,40.5374258333,-3.6346791667,0.081,56.36,72.38
7,2022-11-09 22:54:19.577875,40.5374271667,-3.6346781667,0.129,53.99,72.05
8,2022-11-09 22:54:20.590117,40.5374273333,-3.6346768333,0.485,54.35,72.9
9,2022-11-09 22:54:21.602422,40.5374276667,-3.6346771667,0.115,54.46,73.01
10,2022-11-09 22:54:22.614458,40.5374281667,-3.6346781667,0.158,54.06,72.58
11,2022-11-09 22:54:23.626537,40.5374291667,-3.6346773333,0.162,56.41,73.3
12,2022-11-09 22:54:24.638567,40.5374311667,-3.6346743333,0.084,55.08,73.14
13,2022-11-09 22:54:25.650648,40.5374325,-3.634671,0.062,55.17,72.04
14,2022-11-09 22:54:26.671412,40.5374335,-3.6346703333,0.02,54.45,71.19
15,2022-11-09 22:54:27.689805,40.537434,-3.6346691667,0.094,55.72,71.74
16,2022-11-09 22:54:28.701906,40.5374346667,-3.6346698333,0.056,55.39,71.8
17,2022-11-09 22:54:29.714092,40.5374345,-3.6346686667,0.028,56.44,73.78
18,2022-11-09 22:54:30.726206,40.537434,-3.6346695,0.06,56.58,72.32
19,2022-11-09 22:54:31.738413,40.5374336667,-3.6346685,0.012,56.21,74.83
20,2022-11-09 22:54:32.750211,40.5374338333,-3.634668,0.037,55.76,72.91
21,2022-11-09 22:54:33.762445,40.5374346667,-3.6346678333,0.065,55.2,71.22
22,2022-11-09 22:54:34.774543,40.5374348333,-3.6346688333,0.098,54.57,70.41
23,2022-11-09 22:54:35.786498,40.5374346667,-3.6346706667,0.121,54.45,68.78
24,2022-11-09 22:54:36.799068,40.5374346667,-3.6346716667,0.129,56.51,72.51
25,2022-11-09 22:54:37.811103,40.5374348333,-3.634673,0.078,57.88,71.02
26,2022-11-09 22:54:38.823204,40.537435,-3.6346741667,0.08,58.99,73.38
27,2022-11-09 22:54:39.835162,40.537435,-3.6346756667,0.08,58.17,71.71
28,2022-11-09 22:54:40.847247,40.5374348333,-3.6346771667,0.069,59.22,71.46
29,2022-11-09 22:54:41.859465,40.5374353333,-3.634679,0.024,59.04,71.85
30,2022-11-09 22:54:42.871602,40.5374355,-3.6346801667,0.048,58.91,70.72
31,2022-11-09 22:54:43.883626,40.5374356667,-3.6346816667,0.194,59.11,72.81
32,2022-11-09 22:54:44.895757,40.5374351667,-3.6346831667,0.078,57.47,72.9
33,2022-11-09 22:54:45.907328,40.537435,-3.6346863333,0.074,54.98,67.59
34,2022-11-09 22:54:46.929770,40.5374346667,-3.634688,0.017,55.03,70.45
35,2022-11-09 22:54:47.942405,40.537434,-3.6346891667,0.051,54.02,69.33
36,2022-11-09 22:54:48.954704,40.537434,-3.6346913333,0.046,54.16,69.19
37,2022-11-09 22:54:49.966753,40.5374341667,-3.6346921667,0.12,53.55,68.96
38,2022-11-09 22:54:50.978813,40.5374338333,-3.6346936667,0.064,53.49,71.1
39,2022-11-09 22:54:51.990967,40.5374336667,-3.6346953333,0.054,53.05,70.41
40,2022-11-09 22:54:53.003113,40.5374338333,-3.6346971667,0.057,53.3,71.64
41,2022-11-09 22:54:54.015187,40.5374336667,-3.634699,0.046,52.89,70.26
42,2022-11-09 22:54:55.027067,40.5374336667,-3.6347011667,0.07,53.16,66.95
43,2022-11-09 22:54:56.039168,40.5374335,-3.6347026667,0.05,52.72,68.4
44,2022-11-09 22:54:57.051297,40.5374335,-3.6347036667,0.053,52.59,68.72
45,2022-11-09 22:54:58.063374,40.5374333333,-3.6347051667,0.023,52.8,67.69
46,2022-11-09 22:54:59.075540,40.5374333333,-3.6347063333,0.081,53.35,68.84
47,2022-11-09 22:55:00.088402,40.5374333333,-3.6347066667,0.107,53.89,69.4
48,2022-11-09 22:55:01.100898,40.537433,-3.6347065,0.057,53.21,68.16
49,2022-11-09 22:55:02.113039,40.5374331667,-3.6347071667,0.09,52.44,68.08
50,2022-11-09 22:55:03.125290,40.5374333333,-3.6347073333,0.042,52.31,67.53
51,2022-11-09 22:55:04.137505,40.537433,-3.6347073333,0.15,52.93,68.71
52,2022-11-09 22:55:05.149956,40.5374328333,-3.6347075,0.028,52.43,67.98
53,2022-11-09 22:55:06.159512,40.5374331667,-3.6347081667,0.0,53.02,68.93
54,2022-11-09 22:55:07.176697,40.5374336667,-3.6347088333,0.0,53.0,67.21
55,2022-11-09 22:55:08.194818,40.5374335,-3.6347086667,0.073,53.43,68.55
56,2022-11-09 22:55:09.201044,0.0,0.0,0.028,52.49,69.01
57,2022-11-09 22:55:10.207462,0.0,0.0,0.043,53.39,69.15
58,2022-11-09 22:55:11.213678,0.0,0.0,0.101,52.91,69.71
59,2022-11-09 22:55:12.220308,0.0,0.0,0.102,53.19,69.56
60,2022-11-09 22:55:13.226764,0.0,0.0,0.049,53.73,69.29
61,2022-11-09 22:55:14.233695,0.0,0.0,0.054,53.32,69.14
62,2022-11-09 22:55:15.240695,0.0,0.0,0.069,54.44,68.61
63,2022-11-09 22:55:16.252999,40.5374333333,-3.6347081667,0.06,57.54,69.63
64,2022-11-09 22:55:17.265656,40.537434,-3.6347078333,0.01,56.46,71.83
65,2022-11-09 22:55:18.277951,40.5374343333,-3.6347078333,0.1,56.29,71.43
66,2022-11-09 22:55:19.290584,40.5374341667,-3.6347073333,0.066,56.0,72.03
67,2022-11-09 22:55:20.302864,40.5374338333,-3.6347066667,0.099,58.12,73.17
68,2022-11-09 22:55:21.314982,40.5374335,-3.6347056667,0.144,60.51,73.18
69,2022-11-09 22:55:22.327081,40.5374341667,-3.6347053333,0.11,61.48,76.19
70,2022-11-09 22:55:23.339680,40.5374346667,-3.6347048333,0.138,61.5,75.32
71,2022-11-09 22:55:24.352099,40.5374345,-3.6347046667,0.098,63.84,78.71
72,2022-11-09 22:55:25.364274,40.537434,-3.6347026667,0.049,63.5,78.71
73,2022-11-09 22:55:26.376759,40.5374333333,-3.6346996667,0.116,66.17,79.9
74,2022-11-09 22:55:27.389417,40.5374331667,-3.6346968333,0.152,75.62,84.01
75,2022-11-09 22:55:28.402166,40.5374328333,-3.634694,0.089,70.62,82.61
76,2022-11-09 22:55:29.414377,40.5374325,-3.6346913333,0.149,61.22,75.96
77,2022-11-09 22:55:30.437330,40.5374313333,-3.6346896667,0.028,59.0,74.78
78,2022-11-09 22:55:31.449589,40.5374306667,-3.6346888333,0.085,58.63,73.9
